,Strain,Type,Rating,Effects
0,100-Og,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed"
1,98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic"
2,1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative"
3,13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted"
4,24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
5,3-Bears-Og,indica,0.0,None
6,3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
7,303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly"
8,3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed"
9,3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted"
10,3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted"
11,501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative"
12,5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused"
13,707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative"
14,8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric"
15,818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy"
16,831-Og,indica,5.0,None
17,9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
18,91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
19,A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted"
20,A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
21,A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry"
22,Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric"
23,Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic"
24,Ak-48,hybrid,4.0,"Happy,Energetic,Uplifted,Creative,Relaxed"
25,Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy"
26,Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly"
27,Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
28,Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
29,Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry"
30,Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy"
31,Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted"
32,Acid-Dough,sativa,5.0,"Talkative,Giggly,Happy,Hungry,Relaxed"
33,Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted"
34,Afghan-Big-Bud,indica,4.0,"Euphoric,Happy,Relaxed,Sleepy,Talkative"
35,Afghan-Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative"
36,Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative"
37,Afghan-Hawaiian,indica,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused"
38,Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative"
39,Afghan-Kush,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
40,Afghan-Skunk,indica,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly"
41,Afghan-Sour-Kush,indica,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric"
42,Afghan-Widow,hybrid,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted"
43,Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
44,Afgahni-Bullrider,indica,4.4,"Focused,Uplifted,Happy,Creative,Relaxed"
45,Afghani-Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative"
46,Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
47,Afghanimal,indica,5.0,"Hungry,Relaxed,Aroused,Sleepy,Focused"
48,Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative"
49,Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
50,Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted"
51,Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed"
52,Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy"
53,African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative"
54,Afrikaner,sativa,0.0,None
55,Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative"
56,Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy"
57,Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric"
58,Agent-Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused"
59,Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly"
60,Als-Dream,hybrid,3.0,"Talkative,Energetic"
